num_nodes,NearestNeighbor_0_Ahead,SimulatedAnnealing
456,2235.14,11895.5
457,2258.15,11972.4
458,2275.02,12012.1
459,2291.94,12087.8
460,2308.79,12070.9
461,2327.1,12115.5
462,2346.45,12257.5
463,2358.31,12313.9
464,2366.99,12321.9
465,2384.76,12368.3
466,2398.61,12441.7
467,2410.83,12488.8
468,2421.83,12557.9
469,2438.5,12560.1
470,2456.8,12690.6
471,2472.83,12724.2
472,2511.25,12853.5
473,2552.35,13110.1
474,2537.4,12995.7
475,2547.46,13042.9
476,2551.07,13058.8
477,2572.61,13086.2
478,2590.25,13087
479,2601.58,13158
480,2616.72,13248.6
481,2637.2,13322.1
482,2645.96,13355.5
483,2659.94,13403.3
484,2644.32,13154.7
485,2658.68,13152.8
486,2717.73,13555.7
487,2742.21,13622.1
488,2749.83,13668.4
489,2768.35,13729.7
490,2789.9,13812.7
491,2800.98,13879.1
492,2814.77,13865.8
493,2836.1,13978.4
494,2853.35,13998
495,2869.89,14056.3
496,2891.65,14086.3
497,2912.76,14193.5
498,2957.96,14373.2
499,3005.25,14614.5
500,3032.47,14671.5
