num_nodes,NearestNeighbor_0_Ahead,SimulatedAnnealing
446,1982.68,1651.38
447,1978.95,1648.78
448,1976.77,1647.36
449,1979.04,1652.68
450,1979.36,1655
451,1980.27,1655.76
452,1981.77,1658.54
453,1986.84,1659.29
454,1997.43,1663.85
455,2003.68,1663.61
456,2006.5,1664.84
457,2013.65,1664.89
458,2013.26,1671.06
459,2001.04,1668.13
460,2004.65,1671.46
461,2012.17,1670.98
462,2019.18,1675.44
463,2022.56,1679.48
464,2027.44,1678.24
465,2023.45,1681.68
466,2024.02,1680.82
467,2018.25,1683.3
468,2027.15,1684.7
469,2017.97,1688.16
470,2013.47,1692.12
471,2019.38,1689.77
472,2028,1693.47
473,2030.17,1699.84
474,2027.27,1698.16
475,2023.27,1700.02
476,2023.63,1704.72
477,2040.88,1704.91
478,2046.52,1708.18
479,2040.81,1706.26
480,2050.2,1707.65
481,2043.63,1705.6
482,2046.15,1709.52
483,2048.96,1708.18
484,2054.04,1711.21
485,2055.12,1715.12
486,2059.22,1717.4
487,2060.76,1716.12
488,2058.39,1717.53
489,2072.39,1714.31
490,2080.35,1717.79
491,2081.55,1721.58
492,2072.68,1725.39
493,2070.36,1727.66
494,2073.7,1728.16
495,2076.62,1729.69
496,2080.22,1730.95
497,2084.35,1728.77
498,2084.77,1737.06
499,2084.41,1737.01
500,2078.04,1739.99
